player_name,matches,innings_batted,runs_scored,balls_faced,strike_rate,average,fours,sixes,overs_bowled,balls_bowled,runs_conceded,wickets,economy,bowling_average
LB Williams,2,1,1,2,50.0,1,0,0,6,42,74,1,10.57,74.0
KA Maharaj,2,1,1,2,50.0,1.0,0,0,6,36,39,2,6.5,19.5
Mujeeb Ur Rahman,1,1,1,1,100.0,1,0,0,4,26,30,2,6.92,15.0
K Yadav,3,1,0,4,0.0,0,0,0,9,54,85,2,9.44,42.5
R Goyal,1,0,0,0,0,0,0,0,4,24,34,0,8.5,0
RS Hangargekar,2,0,0,0,0,0,0,0,6,43,60,3,8.37,20.0
PH Solanki,2,0,0,0,0,0,0,0,6,36,39,2,6.5,19.5
S Joseph,1,0,0,0,0,0,0,0,4,30,51,0,10.2,0
KT Maphaka,2,0,0,0,0,0,0,0,6,39,90,1,13.85,90.0
R Sanjay Yadav,1,1,0,2,0.0,0.0,0,0,2,14,23,0,9.86,0
MP Yadav,4,0,0,0,0,0,0,0,13,76,88,7,6.95,12.57
Basil Thampi,5,0,0,0,0,0,0,0,16,102,158,5,9.29,31.6
M Siddharth,3,0,0,0,0,0,0,0,9,58,72,1,7.45,72.0
S Nadeem,1,1,0,1,0.0,0.0,0,0,4,24,36,1,9.0,36.0
N Burger,5,0,0,0,0,0,0,0,17,105,152,7,8.69,21.71
Mayank Dagar,8,1,0,1,0.0,0,0,0,23,138,205,2,8.91,102.5
MJ Henry,4,0,0,0,0,0,0,0,12,74,112,1,9.08,112.0
D Jansen,1,0,0,0,0,0,0,0,4,28,53,1,11.36,53.0
AJ Tye,3,0,0,0,0,0,0,0,11,69,113,2,9.83,56.5
K Khejroliya,2,0,0,0,0,0,0,0,5,28,64,2,13.71,32.0
Akash Singh,7,0,0,0,0,0,0,0,23,141,227,5,9.66,45.4
DS Kulkarni,1,0,0,0,0,0,0,0,4,26,48,0,11.08,0
KR Sen,12,1,0,3,0.0,0,0,0,43,255,396,14,9.32,28.29
S Sandeep Warrier,6,0,0,0,0,0,0,0,13,82,137,6,10.02,22.83
N Thushara,7,0,0,0,0,0,0,0,26,172,259,8,9.03,32.38
Yash Dayal,28,1,0,1,0.0,0.0,0,0,97,615,933,28,9.1,33.32
TS Mills,5,2,0,3,0.0,0.0,0,0,17,107,192,6,10.77,32.0
Suyash Sharma,13,0,0,0,0,0,0,0,43,264,381,10,8.66,38.1
T Natarajan,39,0,0,0,0,0,0,0,148,930,1365,49,8.81,27.86
KL Nagarkoti,2,1,0,2,0.0,0.0,0,0,4,25,54,0,12.96,0
H Sharma,2,0,0,0,0,0,0,0,5,30,62,0,12.4,0
Yash Thakur,19,0,0,0,0,0,0,0,68,432,702,24,9.75,29.25
Gurnoor Brar,1,0,0,0,0,0,0,0,3,21,42,0,12.0,0
J Little,11,0,0,0,0,0,0,0,38,236,341,11,8.67,31.0
V Kaverappa,1,0,0,0,0,0,0,0,4,24,36,2,9.0,18.0
TU Deshpande,31,2,0,3,0.0,0,0,0,113,721,1082,39,9.0,27.74
Jalaj S Saxena,1,0,0,0,0,0,0,0,3,18,27,0,9.0,0
LI Meriwala,1,0,0,0,0,0,0,0,3,19,32,1,10.11,32.0
L Ngidi,3,0,0,0,0,0,0,0,12,75,129,5,10.32,25.8
IC Porel,1,0,0,0,0,0,0,0,4,26,42,1,9.69,42.0
KM Asif,5,1,0,2,0.0,0.0,0,0,17,105,157,4,8.97,39.25
KW Richardson,1,0,0,0,0,0,0,0,3,19,29,1,9.16,29.0
Imran Tahir,1,0,0,0,0,0,0,0,4,26,16,2,3.69,8.0
RP Meredith,18,2,0,3,0.0,0,0,0,67,415,621,19,8.98,32.68
M Pathirana,20,0,0,0,0,0,0,0,77,503,617,34,7.36,18.15
SSB Magala,2,0,0,0,0,0,0,0,6,37,52,1,8.43,52.0
NA Saini,1,0,0,0,0,0,0,0,2,15,35,0,14.0,0
VR Aaron,2,0,0,0,0,0,0,0,5,33,53,2,9.64,26.5
